"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner"
"ydebmyralsahiz",9611,63,2,True,True,19.7071145679903,9.460778652322663
"tiradcharedqiraslesyr",9612,63,1,False,False,"",""
"amjamnaquyrwoquduq",9613,63,2,True,True,19.052213855363224,6.319585224438763
"dotrutole",9614,63,2,False,True,25.932069348887918,10.63518324457978
"lesdohanusre",9615,63,2,True,True,31.57520828213126,10.123229001884376
"tiradcharedqiraslesyr",9616,63,1,False,False,"",""
"tiradcharedqiraslesyr",9617,63,1,False,False,"",""
"lesdohanusre",9618,63,2,True,True,23.497421618413146,6.535501006448524
"itseidlaelextu",9619,63,1,False,False,"",""
"noiger",9620,1583,2,True,True,18.804561900314507,8.376505495932594
"ducira",9621,1583,1,False,True,"",""
"ducira",9622,1583,2,True,True,15.910953974011314,3.000785113337677
"icdirheumleevvi",9623,1583,2,False,False,23.75829444277282,16.52861300586324
"ygaxzavrivetawloit",9624,1583,2,True,True,21.505901697100157,11.280138702942082
"vusaapro",9625,1583,2,True,True,20.600031291652986,6.939755978795819
"dotrutole",9626,1583,2,True,True,22.697098804110183,6.678018839668401
"lesdohanusre",9627,1583,2,True,True,30.882611857769835,6.407260173826161
"gelerutec",9628,1583,1,False,False,"",""
"lesdohanusre",9629,1583,2,True,True,23.405087017606355,7.003733104870357
"dotrutole",9630,1583,2,True,True,31.696843725716228,5.856523001065988
"dotrutole",9631,1583,0,True,True,"",""
"tiradcharedqiraslesyr",9632,1583,1,False,False,"",""
"amjamnaquyrwoquduq",9633,1583,1,False,False,"",""
"dotrutole",9634,1583,2,True,True,26.042973856519737,6.438542299620638
"lesdohanusre",9635,1583,2,True,True,20.048976628887388,5.267854135794646
"tiradcharedqiraslesyr",9636,1583,2,True,True,17.6112308062952,6.259945012697614
"tiradcharedqiraslesyr",9637,1583,2,True,True,23.536640495171167,5.164372246714109
"lesdohanusre",9638,1583,2,True,True,34.941169857813236,9.68900910503546
"itseidlaelextu",9639,1583,1,False,False,"",""
"noiger",9640,2324,4,True,True,"",""
"ducira",9641,2324,1,False,True,"",""
"ducira",9642,2324,2,True,True,23.056910720526286,8.052690467897769
"icdirheumleevvi",9643,2324,6,False,False,"",""
"ygaxzavrivetawloit",9644,2324,2,True,False,43.87015556554572,23.75829444277283
"vusaapro",9645,2324,2,True,True,26.3712031227328,10.1682821108536
"dotrutole",9646,2324,2,True,True,31.880384601030826,10.001671025091293
"lesdohanusre",9647,2324,2,True,True,37.625817839037936,11.171225355637116
"gelerutec",9648,2324,1,False,False,"",""
"lesdohanusre",9649,2324,2,True,True,34.47001120986586,9.066061442733066
"dotrutole",9650,2324,2,True,True,28.482217567649695,10.566738483814365
"ydebmyralsahiz",9651,2324,2,True,False,25.548038807768535,14.452064924053241
